"Subject"	"PrimeType"	"TargetType"	"Accuracy"	"Task"	"TrialType"	"ConType"	"Observer"
45	"black"	"tool"	0.520833333333333	"WIT"	"black_tool"	"incongruent"	"Present"
45	"black"	"weapon"	0.708333333333333	"WIT"	"black_weapon"	"congruent"	"Present"
45	"white"	"tool"	0.6875	"WIT"	"white_tool"	"congruent"	"Present"
45	"white"	"weapon"	0.833333333333333	"WIT"	"white_weapon"	"incongruent"	"Present"
46	"black"	"tool"	0.604166666666667	"WIT"	"black_tool"	"incongruent"	"Absent"
46	"black"	"weapon"	0.791666666666667	"WIT"	"black_weapon"	"congruent"	"Absent"
46	"white"	"tool"	0.833333333333333	"WIT"	"white_tool"	"congruent"	"Absent"
46	"white"	"weapon"	0.6875	"WIT"	"white_weapon"	"incongruent"	"Absent"
47	"black"	"tool"	0.708333333333333	"WIT"	"black_tool"	"incongruent"	"Present"
47	"black"	"weapon"	0.666666666666667	"WIT"	"black_weapon"	"congruent"	"Present"
47	"white"	"tool"	0.833333333333333	"WIT"	"white_tool"	"congruent"	"Present"
47	"white"	"weapon"	0.583333333333333	"WIT"	"white_weapon"	"incongruent"	"Present"
48	"black"	"tool"	0.416666666666667	"WIT"	"black_tool"	"incongruent"	"Absent"
48	"black"	"weapon"	0.458333333333333	"WIT"	"black_weapon"	"congruent"	"Absent"
48	"white"	"tool"	0.458333333333333	"WIT"	"white_tool"	"congruent"	"Absent"
48	"white"	"weapon"	0.520833333333333	"WIT"	"white_weapon"	"incongruent"	"Absent"
49	"black"	"tool"	0.770833333333333	"WIT"	"black_tool"	"incongruent"	"Absent"
49	"black"	"weapon"	0.875	"WIT"	"black_weapon"	"congruent"	"Absent"
49	"white"	"tool"	0.791666666666667	"WIT"	"white_tool"	"congruent"	"Absent"
49	"white"	"weapon"	0.770833333333333	"WIT"	"white_weapon"	"incongruent"	"Absent"
50	"black"	"tool"	0.479166666666667	"WIT"	"black_tool"	"incongruent"	"Present"
50	"black"	"weapon"	0.729166666666667	"WIT"	"black_weapon"	"congruent"	"Present"
50	"white"	"tool"	0.604166666666667	"WIT"	"white_tool"	"congruent"	"Present"
50	"white"	"weapon"	0.604166666666667	"WIT"	"white_weapon"	"incongruent"	"Present"
51	"black"	"tool"	0.125	"WIT"	"black_tool"	"incongruent"	"Present"
51	"black"	"weapon"	0.0833333333333333	"WIT"	"black_weapon"	"congruent"	"Present"
51	"white"	"tool"	0.166666666666667	"WIT"	"white_tool"	"congruent"	"Present"
51	"white"	"weapon"	0.1875	"WIT"	"white_weapon"	"incongruent"	"Present"
52	"black"	"tool"	0.666666666666667	"WIT"	"black_tool"	"incongruent"	"Absent"
52	"black"	"weapon"	0.75	"WIT"	"black_weapon"	"congruent"	"Absent"
52	"white"	"tool"	0.8125	"WIT"	"white_tool"	"congruent"	"Absent"
52	"white"	"weapon"	0.583333333333333	"WIT"	"white_weapon"	"incongruent"	"Absent"
53	"black"	"tool"	0.729166666666667	"WIT"	"black_tool"	"incongruent"	"Present"
53	"black"	"weapon"	0.916666666666667	"WIT"	"black_weapon"	"congruent"	"Present"
53	"white"	"tool"	0.75	"WIT"	"white_tool"	"congruent"	"Present"
53	"white"	"weapon"	0.729166666666667	"WIT"	"white_weapon"	"incongruent"	"Present"
54	"black"	"tool"	0.375	"WIT"	"black_tool"	"incongruent"	"Absent"
54	"black"	"weapon"	0.8125	"WIT"	"black_weapon"	"congruent"	"Absent"
54	"white"	"tool"	0.729166666666667	"WIT"	"white_tool"	"congruent"	"Absent"
54	"white"	"weapon"	0.458333333333333	"WIT"	"white_weapon"	"incongruent"	"Absent"
55	"black"	"tool"	0.5	"WIT"	"black_tool"	"incongruent"	"Present"
55	"black"	"weapon"	0.75	"WIT"	"black_weapon"	"congruent"	"Present"
55	"white"	"tool"	0.541666666666667	"WIT"	"white_tool"	"congruent"	"Present"
55	"white"	"weapon"	0.645833333333333	"WIT"	"white_weapon"	"incongruent"	"Present"
56	"black"	"tool"	0.541666666666667	"WIT"	"black_tool"	"incongruent"	"Absent"
56	"black"	"weapon"	0.75	"WIT"	"black_weapon"	"congruent"	"Absent"
56	"white"	"tool"	0.729166666666667	"WIT"	"white_tool"	"congruent"	"Absent"
56	"white"	"weapon"	0.645833333333333	"WIT"	"white_weapon"	"incongruent"	"Absent"
57	"black"	"tool"	0.6875	"WIT"	"black_tool"	"incongruent"	"Present"
57	"black"	"weapon"	0.833333333333333	"WIT"	"black_weapon"	"congruent"	"Present"
57	"white"	"tool"	0.770833333333333	"WIT"	"white_tool"	"congruent"	"Present"
57	"white"	"weapon"	0.708333333333333	"WIT"	"white_weapon"	"incongruent"	"Present"
58	"black"	"tool"	0.645833333333333	"WIT"	"black_tool"	"incongruent"	"Absent"
58	"black"	"weapon"	0.9375	"WIT"	"black_weapon"	"congruent"	"Absent"
58	"white"	"tool"	0.770833333333333	"WIT"	"white_tool"	"congruent"	"Absent"
58	"white"	"weapon"	0.791666666666667	"WIT"	"white_weapon"	"incongruent"	"Absent"
59	"black"	"tool"	0.5625	"WIT"	"black_tool"	"incongruent"	"Present"
59	"black"	"weapon"	0.770833333333333	"WIT"	"black_weapon"	"congruent"	"Present"
59	"white"	"tool"	0.708333333333333	"WIT"	"white_tool"	"congruent"	"Present"
59	"white"	"weapon"	0.583333333333333	"WIT"	"white_weapon"	"incongruent"	"Present"
60	"black"	"tool"	0.916666666666667	"WIT"	"black_tool"	"incongruent"	"Absent"
60	"black"	"weapon"	0.854166666666667	"WIT"	"black_weapon"	"congruent"	"Absent"
60	"white"	"tool"	0.8125	"WIT"	"white_tool"	"congruent"	"Absent"
60	"white"	"weapon"	0.729166666666667	"WIT"	"white_weapon"	"incongruent"	"Absent"
61	"black"	"tool"	0.479166666666667	"WIT"	"black_tool"	"incongruent"	"Present"
61	"black"	"weapon"	0.458333333333333	"WIT"	"black_weapon"	"congruent"	"Present"
61	"white"	"tool"	0.375	"WIT"	"white_tool"	"congruent"	"Present"
61	"white"	"weapon"	0.520833333333333	"WIT"	"white_weapon"	"incongruent"	"Present"
62	"black"	"tool"	0.6875	"WIT"	"black_tool"	"incongruent"	"Absent"
62	"black"	"weapon"	0.833333333333333	"WIT"	"black_weapon"	"congruent"	"Absent"
62	"white"	"tool"	0.666666666666667	"WIT"	"white_tool"	"congruent"	"Absent"
62	"white"	"weapon"	0.895833333333333	"WIT"	"white_weapon"	"incongruent"	"Absent"
63	"black"	"tool"	0.895833333333333	"WIT"	"black_tool"	"incongruent"	"Present"
63	"black"	"weapon"	0.645833333333333	"WIT"	"black_weapon"	"congruent"	"Present"
63	"white"	"tool"	0.833333333333333	"WIT"	"white_tool"	"congruent"	"Present"
63	"white"	"weapon"	0.583333333333333	"WIT"	"white_weapon"	"incongruent"	"Present"
64	"black"	"tool"	0.4375	"WIT"	"black_tool"	"incongruent"	"Absent"
64	"black"	"weapon"	0.5	"WIT"	"black_weapon"	"congruent"	"Absent"
64	"white"	"tool"	0.645833333333333	"WIT"	"white_tool"	"congruent"	"Absent"
64	"white"	"weapon"	0.458333333333333	"WIT"	"white_weapon"	"incongruent"	"Absent"
65	"black"	"tool"	0.4375	"WIT"	"black_tool"	"incongruent"	"Present"
65	"black"	"weapon"	0.5	"WIT"	"black_weapon"	"congruent"	"Present"
65	"white"	"tool"	0.5625	"WIT"	"white_tool"	"congruent"	"Present"
65	"white"	"weapon"	0.604166666666667	"WIT"	"white_weapon"	"incongruent"	"Present"
66	"black"	"tool"	0.729166666666667	"WIT"	"black_tool"	"incongruent"	"Absent"
66	"black"	"weapon"	0.958333333333333	"WIT"	"black_weapon"	"congruent"	"Absent"
66	"white"	"tool"	0.729166666666667	"WIT"	"white_tool"	"congruent"	"Absent"
66	"white"	"weapon"	0.854166666666667	"WIT"	"white_weapon"	"incongruent"	"Absent"
67	"black"	"tool"	0.645833333333333	"WIT"	"black_tool"	"incongruent"	"Present"
67	"black"	"weapon"	0.791666666666667	"WIT"	"black_weapon"	"congruent"	"Present"
67	"white"	"tool"	0.625	"WIT"	"white_tool"	"congruent"	"Present"
67	"white"	"weapon"	0.75	"WIT"	"white_weapon"	"incongruent"	"Present"
68	"black"	"tool"	0.333333333333333	"WIT"	"black_tool"	"incongruent"	"Absent"
68	"black"	"weapon"	0.833333333333333	"WIT"	"black_weapon"	"congruent"	"Absent"
68	"white"	"tool"	0.770833333333333	"WIT"	"white_tool"	"congruent"	"Absent"
68	"white"	"weapon"	0.0625	"WIT"	"white_weapon"	"incongruent"	"Absent"
69	"black"	"tool"	0.791666666666667	"WIT"	"black_tool"	"incongruent"	"Present"
69	"black"	"weapon"	0.770833333333333	"WIT"	"black_weapon"	"congruent"	"Present"
69	"white"	"tool"	0.75	"WIT"	"white_tool"	"congruent"	"Present"
69	"white"	"weapon"	0.75	"WIT"	"white_weapon"	"incongruent"	"Present"
70	"black"	"tool"	0.458333333333333	"WIT"	"black_tool"	"incongruent"	"Absent"
70	"black"	"weapon"	0.520833333333333	"WIT"	"black_weapon"	"congruent"	"Absent"
70	"white"	"tool"	0.666666666666667	"WIT"	"white_tool"	"congruent"	"Absent"
70	"white"	"weapon"	0.604166666666667	"WIT"	"white_weapon"	"incongruent"	"Absent"
71	"black"	"tool"	0.5	"WIT"	"black_tool"	"incongruent"	"Present"
71	"black"	"weapon"	0.791666666666667	"WIT"	"black_weapon"	"congruent"	"Present"
71	"white"	"tool"	0.5625	"WIT"	"white_tool"	"congruent"	"Present"
71	"white"	"weapon"	0.5625	"WIT"	"white_weapon"	"incongruent"	"Present"
72	"black"	"tool"	0.666666666666667	"WIT"	"black_tool"	"incongruent"	"Absent"
72	"black"	"weapon"	0.854166666666667	"WIT"	"black_weapon"	"congruent"	"Absent"
72	"white"	"tool"	0.75	"WIT"	"white_tool"	"congruent"	"Absent"
72	"white"	"weapon"	0.75	"WIT"	"white_weapon"	"incongruent"	"Absent"
73	"black"	"tool"	0.708333333333333	"WIT"	"black_tool"	"incongruent"	"Present"
73	"black"	"weapon"	0.75	"WIT"	"black_weapon"	"congruent"	"Present"
73	"white"	"tool"	0.729166666666667	"WIT"	"white_tool"	"congruent"	"Present"
73	"white"	"weapon"	0.770833333333333	"WIT"	"white_weapon"	"incongruent"	"Present"
74	"black"	"tool"	0.541666666666667	"WIT"	"black_tool"	"incongruent"	"Absent"
74	"black"	"weapon"	0.6875	"WIT"	"black_weapon"	"congruent"	"Absent"
74	"white"	"tool"	0.75	"WIT"	"white_tool"	"congruent"	"Absent"
74	"white"	"weapon"	0.541666666666667	"WIT"	"white_weapon"	"incongruent"	"Absent"
75	"black"	"tool"	0.479166666666667	"WIT"	"black_tool"	"incongruent"	"Present"
75	"black"	"weapon"	0.479166666666667	"WIT"	"black_weapon"	"congruent"	"Present"
75	"white"	"tool"	0.458333333333333	"WIT"	"white_tool"	"congruent"	"Present"
75	"white"	"weapon"	0.395833333333333	"WIT"	"white_weapon"	"incongruent"	"Present"
76	"black"	"tool"	0.604166666666667	"WIT"	"black_tool"	"incongruent"	"Absent"
76	"black"	"weapon"	0.666666666666667	"WIT"	"black_weapon"	"congruent"	"Absent"
76	"white"	"tool"	0.6875	"WIT"	"white_tool"	"congruent"	"Absent"
76	"white"	"weapon"	0.583333333333333	"WIT"	"white_weapon"	"incongruent"	"Absent"
77	"black"	"tool"	0.354166666666667	"WIT"	"black_tool"	"incongruent"	"Present"
77	"black"	"weapon"	0.5625	"WIT"	"black_weapon"	"congruent"	"Present"
77	"white"	"tool"	0.645833333333333	"WIT"	"white_tool"	"congruent"	"Present"
77	"white"	"weapon"	0.520833333333333	"WIT"	"white_weapon"	"incongruent"	"Present"
78	"black"	"tool"	0.541666666666667	"WIT"	"black_tool"	"incongruent"	"Absent"
78	"black"	"weapon"	0.708333333333333	"WIT"	"black_weapon"	"congruent"	"Absent"
78	"white"	"tool"	0.625	"WIT"	"white_tool"	"congruent"	"Absent"
78	"white"	"weapon"	0.520833333333333	"WIT"	"white_weapon"	"incongruent"	"Absent"
79	"black"	"tool"	0.875	"WIT"	"black_tool"	"incongruent"	"Present"
79	"black"	"weapon"	0.958333333333333	"WIT"	"black_weapon"	"congruent"	"Present"
79	"white"	"tool"	0.895833333333333	"WIT"	"white_tool"	"congruent"	"Present"
79	"white"	"weapon"	0.875	"WIT"	"white_weapon"	"incongruent"	"Present"
