"Subject"	"Observer"	"BNcor"	"BPcor"	"BNfa"	"BPfa"	"APT_BlackC"	"APT_BlackA"	"WPcor"	"WNcor"	"WPfa"	"WNfa"	"APT_WhiteC"	"APT_WhiteA"	"APT_DiffA"	"APT_MeanC"	"APT_AResid"	"BGcor"	"BTcor"	"BGfa"	"BTfa"	"WIT_BlackC"	"WIT_BlackA"	"WTcor"	"WGcor"	"WTfa"	"WGfa"	"WIT_WhiteC"	"WIT_WhiteA"	"WIT_DiffA"	"WIT_MeanC"	"WIT_AResid"	"WIT_MeanC.stand"	"WIT_AResid.stand"	"WIT_DiffA.stand"	"AP_MeanC.stand"	"AP_AResid.stand"	"AP_DiffA.stand"
44	"Absent"	35	34	11	10	0.520833333333333	0.434782608695652	30	29	12	13	0.354166666666667	0.419354838709677	0.0154277699859747	0.4375	0.0575088073693709	31	17	8	20	0.229166666666667	0.540540540540541	29	28	15	13	0.333333333333333	0.40625	0.134290540540541	0.28125	0.0671114272106038	-0.533077170731828	0.386899229832593	0.442101044594045	0.447379627588455	0.405410584811325	0.492947641017055
45	"Present"	29	26	15	20	0.1875	0.512820512820513	27	25	18	21	0.125	0.5	0.0128205128205129	0.15625	0.108026002346769	34	25	11	17	0.354166666666667	0.548387096774194	33	40	12	6	0.5625	0.285714285714286	0.262672811059908	0.458333333333333	0.0828892404454209	0.204597311415421	0.48032737726245	1.0059743108761	-0.814826782462136	0.761813703109872	0.478759140033797
46	"Absent"	29	28	15	14	0.3125	0.424242424242424	30	31	16	10	0.416666666666667	0.357142857142857	0.0670995670995671	0.364583333333333	0.0681988842584717	38	29	9	10	0.583333333333333	0.5	40	33	5	13	0.5625	0.619047619047619	-0.119047619047619	0.572916666666667	0.01256879097665	0.681916093981289	0.063925609633194	-0.670596331320573	0.12014092868645	0.480829988834676	0.774141745635827
47	"Present"	32	26	9	18	0.291666666666667	0.529411764705882	33	19	10	26	0.145833333333333	0.634146341463415	-0.104734576757532	0.21875	0.0788389038941632	32	34	11	6	0.541666666666667	0.272727272727273	40	28	5	14	0.541666666666667	0.636363636363636	-0.363636363636364	0.541666666666667	-0.21584333124125	0.551738244190598	-1.28861425832829	-1.74486502706137	-0.53433646911756	0.555896234666711	-0.160966977573647
48	"Absent"	19	21	11	9	0.208333333333333	0.236842105263158	19	27	12	6	0.270833333333333	0.171428571428571	0.0654135338345865	0.239583333333333	-0.0558251730840656	22	20	12	9	0.270833333333333	0.257142857142857	22	25	10	11	0.229166666666667	0.297297297297297	-0.0401544401544401	0.25	-0.209117162020862	-0.66325502052252	-1.2487853213135	-0.3240862229551	-0.440839698002701	-0.39417031157185	0.764966477098883
49	"Absent"	37	33	3	4	0.6875	0.266666666666667	38	34	3	4	0.708333333333333	0.285714285714286	-0.019047619047619	0.697916666666667	-0.0650013880723901	42	37	4	8	0.708333333333333	0.571428571428572	38	37	3	5	0.6875	0.333333333333333	0.238095238095238	0.697916666666667	0.102797379000573	1.20262749314405	0.598213200621061	0.898026100513338	1.61608926652419	-0.45890929079427	0.305335119444138
50	"Present"	30	36	14	8	0.458333333333333	0.307692307692308	38	16	5	23	0.3125	0.696969696969697	-0.389277389277389	0.385416666666667	-0.164319449971907	35	23	11	22	0.270833333333333	0.628571428571428	29	29	18	17	0.25	0.472222222222222	0.156349206349206	0.260416666666667	0.150801339187357	-0.619862403925623	0.882468122567457	0.538985855004686	0.213637699801309	-1.1596066866056	-1.70942795361315
52	"Absent"	35	30	3	8	0.5625	0.380952380952381	38	31	2	6	0.666666666666667	0.375	0.00595238095238099	0.614583333333333	0.0188149696572044	36	32	7	5	0.645833333333333	0.294117647058824	39	28	2	11	0.583333333333333	0.55	-0.255882352941176	0.614583333333333	-0.18877022462065	0.855486560368877	-1.12830115542299	-1.27159402383106	1.24210218206475	0.132422260227504	0.441383273527405
53	"Present"	17	30	24	12	0.104166666666667	0.27906976744186	30	9	15	30	0	0.625	-0.34593023255814	0.0520833333333333	-0.168381842210451	44	35	3	8	0.75	0.666666666666667	36	35	9	9	0.5625	0.428571428571429	0.238095238095238	0.65625	0.191768802040218	1.02905702675646	1.12505650299004	0.898026100513337	-1.28231063803643	-1.18826721025932	-1.47353592735667
54	"Absent"	32	9	5	31	0.0208333333333333	0.659574468085106	26	15	9	17	0.1875	0.435897435897436	0.22367703218767	0.104166666666667	0.276655393087551	39	18	3	22	0.354166666666667	0.709677419354839	35	22	8	21	0.291666666666667	0.617647058823529	0.0920303605313094	0.322916666666667	0.222338367275584	-0.35950670434424	1.30607384710297	0.256488298853751	-1.04856871024928	1.95150843425416	1.62622474948677
